chapter_code,chapter,subchapter,assay_refname,text_pattern_match,assay_source,notes,assay_class,mesh_indication,ind_phenotype_cmpd,ind_phenotype_cmpd_chemblid,pos_control_cmpd,pos_control_cmpd_chemblid
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Repetitive Transcranial Magnetic Stimulation,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Aversive Brain Stimulation,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,General Locomotor Activity,Locomot,phenotype,,in-vivo phenotypic,LOCOMOTION,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Sidman Avoidance Paradigm,Sidi?man,Vogel_assay_2008,,in-vivo phenotypic,ANXIETY|DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Geller Conflict Paradigm,Geller|Cook\W?Davidson,Vogel_assay_2008,,in-vivo phenotypic,ANXIETY,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Progressive Ratio Procedure,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Inflammatory Activity,Paw Edema Test,paw.*O?edema|O?edema.*paw|foot.*o?edema|o?edema.*foot|paw\W?volume,Hock_2016,,in-vivo phenotypic,INFLAMMATION,CARRAGEENAN|FORMALDEHYDE|KAOLIN,CHEMBL2108264|CHEMBL1255|CHEMBL3833410,PHENYLBUTAZONE,CHEMBL101
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Inflammatory Activity,Pleurisy Test for Anti-inflammatory Activity,pleurisy|pleural.*exudate|exudate.*pleural|pleural.*assay,Hock_2016,,in-vivo phenotypic,INFLAMMATION,,,,
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Inflammatory Activity,Granuloma Pouch Technique,air\W?pouch,Hock_2016,,in-vivo phenotypic,INFLAMMATION,CrotonOil|CARRAGEENAN|lipopolysaccharide|zymosan|BRADYKININ,None|CHEMBL2108264|None|None|CHEMBL406291,HYDROCORTISONE ACETATE|INDOMETHACIN,CHEMBL1091|CHEMBL6
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Inflammatory Activity,Cotton Wool Granuloma for Anti-inflammatory Activity,Granuloma.*Cotton|Cotton.*Granuloma,Vogel_assay_2008,,in-vivo phenotypic,INFLAMMATION,,,,
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Inflammatory Activity,Sponge Implantation Technique for Anti-inflammatory Activity,Sponge,Vogel_assay_2008,,in-vivo phenotypic,INFLAMMATION,,,,
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Inflammatory Activity,Glass Rod Granuloma for Anti-inflammatory Activity,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Inflammatory Activity,General Granuloma Models,Granuloma,phenotype,,in-vivo phenotypic,INFLAMMATION,,,,
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Inflammatory Activity,General Anti-Inflammatory Models,Inflamm|O?edema,phenotype,,in-vivo phenotypic,INFLAMMATION,,,,
H,"Analgesic, Anti-inflammatory and Anti-pyretic Activity",Anti-Pyretic Activity,Antipyretic Testing in Rats,pyretic|pyrexia|pyresis,Hock_2016,,in-vivo phenotypic,FEVER,Brewers Yeast,,AMINOPYRINE|PHENACETIN,CHEMBL288470|CHEMBL16073
